"3001","","The Secret Garden","Marsha Norman","1992","Plays","Fiction","Plays","4.25","417","2022/03/21"
"3002","","Secret Garden","Frances Hodgson Burnett","1910","Classics","Fiction","Childrens","4.14","1017115","2022/03/21"
"3003","","The Secret Garden","Frances Hodgson Burnett","1910","Classics","Fiction","Childrens","4.14","1017115","2022/03/21"
"3004","Classic Starts Series","The Secret Garden","Martha Hailey DuBose","","Classics","Fiction","Childrens","4.39","5039","2022/03/21"
"3005","","Frances Hodgson Burnett: The Unexpected Life of the Author of the Secret Garden","Gretchen Holbrook Gerzina","2004","Biography","Nonfiction","Biography Memoir","3.86","43","2022/03/21"
"3006","","The Secret Garden","Frances Hodgson Burnett","1910","Classics","Fiction","Childrens","4.14","1017115","2022/03/21"
"3007","","","","","","","","","","2022/03/21"
"3008","","A Little Princess","Frances Hodgson Burnett","1905","Classics","Fiction","Childrens","4.21","287502","2022/03/21"
"3009","","Frances Hodgson Burnett: Beyond the Secret Garden","Angelica Shirley Carpenter","1990","Biography","Nonfiction","","3.81","42","2022/03/21"
"3010","","In the Garden: Essays in Honor of Frances Hodgson Burnett","Angelica Shirley Carpenter","","","","","3.5","4","2022/03/21"
"3011","","Waiting for the Party: The Life of Frances Hodgson Burnett, 1849-1924","Ann Thwaite","1974","Biography","Nonfiction","","3.77","30","2022/03/21"
"3012","","The Racketty-Packetty House","Frances Hodgson Burnett","1906","Classics","Childrens","Fantasy","3.98","477","2022/03/21"
"3013","","The Secret Garden","Frances Hodgson Burnett","1910","Classics","Fiction","Childrens","4.14","1017115","2022/03/21"
"3014","","The Secret Garden Cookbook: Recipes Inspired by Frances Hodgson Burnett's The Secret Garden","Amy Cotler","","Food and Drink","Cookbooks","Food and Drink","4.3","244","2022/03/21"
"3015","","","","","","","","","","2022/03/21"
"3016","","Privileged Son: Otis Chandler And The Rise And Fall Of The L.A. Times Dynasty","Dennis McDougal","2001","History","Biography","Nonfiction","4.01","73","2022/03/21"
"3017","","American Muscle: Muscle Cars from the Otis Chandler Collection","Randy Leffingwell","","","","","5.0","4","2022/03/21"
"3018","","Privileged Son: Otis Chandler and the Rise and Fall of the L.A. Times Dynasty","Dennis McDougal","","History","Biography","Nonfiction","4.01","73","2022/03/21"
"3019","","David Copperfield","Charles Dickens","1850","Classics","Fiction","Literature","4.01","214623","2022/03/21"
"3020","","Barnaby Rudge","Charles Dickens","1841","Classics","Fiction","Historical","3.82","9904","2022/03/21"
"3021","","American Notes For General Circulation","Charles Dickens","1842","Classics","Nonfiction","Travel","3.61","893","2022/03/21"
"3022","","Great Expectations","Charles Dickens","1860","Classics","Fiction","Literature","3.79","719115","2022/03/21"
"3023","","Basic Economics: A Citizen's Guide to the Economy","Thomas Sowell","2000","Economics","Nonfiction","Business","4.35","10197","2022/03/21"
"3024","","Basic Statistics for Business & Economics","Douglas A. Lind","1994","Textbooks","Reference","Research","3.23","91","2022/03/21"
"3025","","Basic Economics: A Common Sense Guide to the Economy","Thomas Sowell","2000","Economics","Nonfiction","Business","4.35","10197","2022/03/21"
"3026","","Basic Economics [With Infotrac and Access Code]","Frank V. Mastrianna","1994","","","","2.83","6","2022/03/21"
"3027","","Economic Literacy: Basic Economics with an Attitude","Frederick S. Weaver","2002","Economics","","","3.59","22","2022/03/21"
"3028","","Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics","Henry Hazlitt","1946","Economics","Nonfiction","Business","4.17","17497","2022/03/21"
"3029","","Basic Economics","Clarence B. Carson","","Economics","Nonfiction","Business","3.13","56","2022/03/21"
"3030","","As & A Level Economics Through Diagrams","Andrew Gillespie","1998","","","","4.21","14","2022/03/21"
"3031","","Advanced Placement Economics: Microeconomics: Student Activities","John S. Morton","2003","Economics","","","4.27","11","2022/03/21"
"3032","","Advanced Mathematical Economics","Rakesh V. Vohra","2004","","","","4.29","7","2022/03/21"
"3033","","Yugoslavia: Patterns of Economic Activity","F.E. Ian Hamilton","","","","","0.0","0","2022/03/21"
