"","12001","","Raise High the Roof Beam, Carpenters and Seymour: an Introduction","J.D. Salinger","1955","Fiction","Classics","Short Stories","4.11","48186","2022/04/01"
"","12002","","Landscape of Demons : And the Book of Sara","Gabriel Devlin Kessler","","","","","3.67","3","2022/04/01"
"","12003","","Sundancers and River Demons: Essays on Landscape and Ritual","Conger Beasley Jr.","1990","","","","2.4","5","2022/04/01"
"","12004","","The Bridge","Iain Banks","","Fiction","Fantasy","Science Fiction","3.85","11211","2022/04/01"
"","12005","","The Wasp Factory","Iain Banks","1984","Fiction","Horror","Thriller","3.8","87724","2022/04/01"
"","12006","","Dead Air","Iain Banks","2002","Fiction","Contemporary","Thriller","3.54","5868","2022/04/01"
"","12007","Culture","Use of Weapons","Iain M. Banks","1990","Science Fiction","Fiction","Space","4.17","42973","2022/04/01"
"","12008","","The State of the Art","Iain M. Banks","","Science Fiction","Science Fiction Fantasy","Fiction","4.01","216","2022/04/01"
"","12009","","The Algebraist","Iain M. Banks","2004","Science Fiction","Fiction","Space","4.02","20678","2022/04/01"
"","12010","","","","","","","","","","2022/04/01"
"","12011","","Entrefer","Iain Banks","1986","Fiction","Fantasy","Science Fiction","3.85","11211","2022/04/01"
"","12012","Culture","The Player of Games","Iain M. Banks","1988","Science Fiction","Fiction","Space","4.27","64746","2022/04/01"
"","12013","Culture","Excession","Iain M. Banks","1996","Science Fiction","Fiction","Space","4.19","27885","2022/04/01"
"","12014","","Complicity","Iain Banks","1993","Fiction","Mystery","Crime","3.9","12091","2022/04/01"
"","12015","","Feersum Endjinn","Iain M. Banks","1994","Science Fiction","Fiction","Fantasy","3.83","10128","2022/04/01"
"","12016","Culture","Look to Windward","Iain M. Banks","2000","Science Fiction","Fiction","Space","4.2","24567","2022/04/01"
"","12017","Culture","Inversions","Iain M. Banks","1998","Science Fiction","Fiction","Fantasy","3.93","16375","2022/04/01"
"","12018","Culture","Exzession","Iain M. Banks","1996","Science Fiction","Fiction","Space","4.19","27885","2022/04/01"
"","12019","Scotnotes","Iain Banks' 'The Wasp Factory', 'The Crow Road' and 'Whit'","Alan MacGillivray","","Horror","Fiction","","3.85","65","2022/04/01"
"","12020","Continuum Contemporaries","Iain Banks's 'Complicity': A Reader's Guide","Cairns Craig","2002","","","","4.2","30","2022/04/01"
"","12021","","The Crow Road","Iain Banks","1992","Fiction","Mystery","Contemporary","4.07","20934","2022/04/01"
"","12022","","A Song Of Stone","Iain Banks","1997","Fiction","Fantasy","Contemporary","3.19","4546","2022/04/01"
"","12023","","Teen Ink: Love and Relationships","Stephanie H. Meyer","","Young Adult","","","3.53","55","2022/04/01"
"","12024","The Twilight Saga","Twilight","Stephenie Meyer","","Fantasy","Young Adult","Romance","3.62","5685373","2022/04/01"
"","12025","","Teen Ink What Matters","Stephanie H. Meyer","2003","","","","3.55","33","2022/04/01"
"","12026","","Teen Ink: Written in the Dirt: A Collection of Short Stories, Poetry, Art and Photography","Stephanie H. Meyer","","Short Stories","Nonfiction","","3.2","44","2022/04/01"
"","12027","","Teen Ink 2: More Voices, More Visions","Stephanie H. Meyer","","Poetry","Nonfiction","","3.55","66","2022/04/01"
"","12028","","Our Voices, Our Visions","Stephanie H. Meyer","","Young Adult","Self Help","Poetry","3.73","130","2022/04/01"
"","12029","","Übrigens ...","Kristine Germeroth","","","","","0.0","0","2022/04/01"
"","12030","","Übrigens ...","Edelgard Kopper","","","","","4.0","1","2022/04/01"
"","12031","","Goal Setting For Liturgy Committees","Stephanie Certain","","","","","0.0","0","2022/04/01"
"","12032","","Übrigens ...","Harald Grunert","","","","","0.0","0","2022/04/01"
"","12033","","Herman Melville: Between Charlemagne and the Antemosaic Cosmic Man - Race, Class and the Crisis of Bourgeois Ideology in an American Re","Loren Goldner","","","","","4.6","5","2022/04/01"
"","12034","","Selected Poems","Herman Melville","1924","Poetry","Literature","American","3.77","56","2022/04/01"
"","12035","Herman Melville: A Biography","Herman Melville: A Biography","Hershel Parker","1996","Biography","","","4.16","49","2022/04/01"
"","12036","","The Confidence-Man","Herman Melville","1857","Fiction","Classics","Literature","3.63","2888","2022/04/01"
"","12037","","","","","","","","","","2022/04/01"
"","12038","","Little Italian Girl Paper Doll","Tom Tierney","","","","","3.0","1","2022/04/01"
"","12039","","The Italian Girl","Iris Murdoch","1964","Fiction","Literary Fiction","Literature","3.42","1889","2022/04/01"
"","12040","","The Italian Girl","Sol Volpe","","","","","0.0","0","2022/04/01"
"","12041","","A Nice Italian Girl","Elizabeth Christman","1978","","","","2.93","15","2022/04/01"
"","12042","","A Springtime's Dream: An Italian Girl's Story","Anna S. Avella","","","","","0.0","0","2022/04/01"
"","12043","Ackroyd and Thackeray","The Italian Girl","Patricia Hall","","Mystery","","","3.42","50","2022/04/01"
"","12044","","The Flight from the Enchanter: A Story of Love and Power","Iris Murdoch","1956","Fiction","European Literature","British Literature","3.69","1005","2022/04/01"
"","12045","","An Unofficial Rose","Iris Murdoch","1962","Fiction","Classics","Novels","3.77","896","2022/04/01"
"","12046","","The Stories of Paul Bowles","Paul Bowles","2001","Short Stories","Fiction","Literature","4.3","1118","2022/04/01"
"","12047","","Days: A Tangier Diary","Paul Bowles","1987","Nonfiction","Cultural","Africa","3.29","226","2022/04/01"
"","12048","","The Sheltering Sky / Let It Come Down / The Spider's House","Paul Bowles","","Fiction","Adventure","Novels","4.17","278","2022/04/01"
"","12049","","The Spider's House","Paul Bowles","1955","Fiction","Northern Africa","Morocco","4.0","1600","2022/04/01"
"","12050","","A Hundred Camels in the Courtyard","Paul Bowles","1962","Fiction","Short Stories","Literature","3.96","354","2022/04/01"
"","12051","","Their Heads are Green and Their Hands are Blue: Scenes from the Non-Christian World","Paul Bowles","1957","Travel","Nonfiction","Writing","4.06","562","2022/04/01"
"","12052","","Collected Stories and Later Writings","Paul Bowles","1979","Short Stories","Fiction","Literature","4.41","140","2022/04/01"
"","12053","","The Sheltering Sky","Paul Bowles","1949","Fiction","Classics","Cultural","3.9","26055","2022/04/01"
"","12054","","Let It Come Down","Paul Bowles","1952","Fiction","Cultural","Africa","3.9","1951","2022/04/01"
"","12055","","Points in Time","Paul Bowles","1982","Fiction","Cultural","Africa","3.64","242","2022/04/01"
"","12056","","An Accidental Man","Iris Murdoch","1971","Fiction","Literary Fiction","Novels","3.78","774","2022/04/01"
"","12057","","An Accidental Man","Iris Murdoch","1971","Fiction","Literary Fiction","Novels","3.78","774","2022/04/01"
"","12058","Accidental","The Accidental Bridegroom","Ann Major","","Category Romance","Harlequin","","3.97","36","2022/04/01"
