"2046","","Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell, My Lovely / The High Window","Raymond Chandler","1933","Fiction","Mystery","Short Stories","4.51","1386","2022/03/20"
"2047","","Collected Stories","Raymond Chandler","1959","Short Stories","Mystery","Fiction","4.38","631","2022/03/20"
"2048","","The Lady in the Lake, The Little Sister, The Long Goodbye, Playback (#4-7)","Raymond Chandler","2002","Mystery","Mystery","Crime","4.46","290","2022/03/20"
"2049","Philip Marlowe","The High Window","Raymond Chandler","1942","Mystery","Fiction","Mystery","4.04","21036","2022/03/20"
"2050","Philip Marlowe","Farewell, My Lovely","Raymond Chandler","1940","Mystery","Fiction","Mystery","4.11","36126","2022/03/20"
"2051","","The Simple Art of Murder","Raymond Chandler","1944","Mystery","Fiction","Short Stories","4.14","5713","2022/03/20"
"2052","Philip Marlowe","The Big Sleep","Raymond Chandler","1939","Mystery","Fiction","Classics","3.96","141439","2022/03/20"
"2053","Philip Marlowe","The Big Sleep / Farewell, My Lovely / The High Window","Raymond Chandler","1942","Mystery","Fiction","Mystery","4.48","1411","2022/03/20"
"2054","Philip Marlowe","The Long Goodbye","Raymond Chandler","1953","Mystery","Fiction","Mystery","4.19","38327","2022/03/20"
"2055","","Long Goodbye","William H. Colby","2002","Nonfiction","","","4.2","75","2022/03/20"
"2056","","An Evening of Long Goodbyes","Paul Murray","2003","Fiction","Humor","Cultural","3.62","1359","2022/03/20"
"2057","","The Long Goodbye: Memories of My Father","Patti  Davis","2004","Biography","Autobiography","Memoir","3.84","298","2022/03/20"
"2058","","Ghost In the Shell 2: Innocence: After the Long Goodbye","Masaki Yamada","","Sequential Art","Manga","Science Fiction","3.98","291","2022/03/20"
"2059","Philip Marlowe","The Long Goodbye","Raymond Chandler","1953","Mystery","Fiction","Mystery","4.19","38327","2022/03/20"
"2060","Mandie","Mandie and the Long Goodbye","Lois Gladys Leppard","1998","Mystery","Historical","Historical Fiction","3.94","580","2022/03/20"
"2061","","The Long Italian Goodbye","Robert Benedetti","2005","","","","4.0","3","2022/03/20"
"2062","","A Long Goodbye and Beyond: Coping with Alzheimer's","Linda Combs","","","","","4.0","2","2022/03/20"
"2063","Philip Marlowe","The Long Goodbye","Raymond Chandler","1953","Mystery","Fiction","Mystery","4.19","38327","2022/03/20"
"2064","","Confederate Surgeon: Aristides Monteiro","Sylvia G. L., Dannett","1969","","","","0.0","0","2022/03/20"
"2065","","The Low Blood Sugar Gourmet Cookbook","Sylvia G. L., Dannett","","","","","0.0","0","2022/03/20"
"2066","","The Yankee Doodler","Sylvia G. L. Dannett","1974","","","","0.0","0","2022/03/20"
"2067","","Breaking the Spell: Religion as a Natural Phenomenon","Daniel C. Dennett","2006","Philosophy","Religion","Nonfiction","3.89","12012","2022/03/20"
"2068","","Darwin's Dangerous Idea: Evolution and the Meanings of Life","Daniel C. Dennett","1995","Science","Philosophy","Nonfiction","4.06","15593","2022/03/20"
"2069","","Consciousness Explained","Daniel C. Dennett","","Philosophy","Science","Psychology","3.89","7711","2022/03/20"
"2070","Jean Nicod Lectures","Sweet Dreams: Philosophical Obstacles to a Science of Consciousness","Daniel C. Dennett","2005","Philosophy","Science","Nonfiction","3.75","429","2022/03/20"
"2071","","Freedom Evolves","Daniel C. Dennett","2003","Philosophy","Nonfiction","Science","3.82","2719","2022/03/20"
"2072","","Brainstorms: Philosophical Essays on Mind and Psychology","Daniel C. Dennett","1978","Philosophy","Psychology","Nonfiction","3.95","610","2022/03/20"
"2073","","The Intentional Stance","Daniel C. Dennett","1987","Philosophy","Psychology","Nonfiction","3.98","308","2022/03/20"
"2074","","Kinds of Minds: Towards an Understanding of Consciousness","Daniel C. Dennett","1996","Philosophy","Science","Psychology","3.82","1871","2022/03/20"
"2075","","Thy Will Be Done: The Conquest of the Amazon: Nelson Rockefeller and Evangelism in the Age of Oil","Gerard Colby","1995","History","Nonfiction","Politics","4.53","60","2022/03/20"
"2076","","Kinds of Minds: The Origins Of Consciousness (Science Masters) by Dennett, Daniel C. (1997) Paperback","Daniel C. Dennett","1996","Philosophy","Science","Psychology","3.82","1871","2022/03/20"
"2077","","Leaps of Faith: Science, Miracles & the Search for Supernatural Consolation","Nicholas Humphrey","1995","Philosophy","Nonfiction","Philosophy","3.76","33","2022/03/20"
"2078","","Elbow Room: The Varieties of Free Will Worth Wanting","Daniel C. Dennett","1984","Philosophy","Nonfiction","Science","3.93","643","2022/03/20"
"2079","","UFOs Over California: A True History of Extraterrestrial Encounters in the Golden State","Preston Dennett","","Mystery","","","4.28","18","2022/03/20"
"2080","","UFOs Over Topanga Canyon","Preston Dennett","1999","Mystery","","","4.41","17","2022/03/20"
"2081","","The Mind’s I: Fantasies and Reflections on Self and Soul","Douglas R. Hofstadter","1981","Philosophy","Nonfiction","Science","4.14","5607","2022/03/20"
